car_model,year_of_manufacture,price,fuel
ritz,2014,5000,Petrol
sx4,2013,7090,Diesel
ciaz,2017,10821,Petrol
wagon r,2011,4254,Petrol
swift,2014,6866,Diesel
vitara brezza,2018,13806,Diesel
ciaz,2015,10075,Petrol
s cross,2015,9701,Diesel
ciaz,2016,13060,Diesel
ciaz,2015,11119,Diesel
alto 800,2017,4254,Petrol
ciaz,2015,10224,Diesel
ciaz,2015,11194,Petrol
ertiga,2015,9104,Petrol
dzire,2009,3358,Petrol
ertiga,2016,11567,Diesel
ertiga,2015,10821,Diesel
ertiga,2016,11567,Diesel
wagon r,2015,4851,CNG
sx4,2010,3955,Petrol
alto k10,2016,4254,Petrol
ignis,2017,7313,Petrol
sx4,2011,6567,Petrol
alto k10,2014,3731,Petrol
wagon r,2013,4328,Petrol
swift,2011,4478,Petrol
swift,2013,6194,Petrol
swift,2017,8955,Petrol
alto k10,2010,2910,Petrol
ciaz,2015,11119,Diesel
ritz,2012,4627,Diesel
ritz,2011,3507,Petrol
swift,2014,7388,Diesel
ertiga,2014,8955,Diesel
dzire,2014,8209,Diesel
sx4,2011,4403,CNG
dzire,2015,6940,Petrol
800,2003,522,Petrol
alto k10,2016,4478,Petrol
sx4,2003,3358,Petrol
fortuner,2012,22239,Diesel
fortuner,2015,34328,Diesel
innova,2017,26866,Diesel
fortuner,2013,23881,Diesel
innova,2005,4104,Petrol
corolla altis,2009,5373,Petrol
etios cross,2015,6716,Petrol
corolla altis,2010,7090,Petrol
etios g,2014,6119,Petrol
fortuner,2014,29836,Diesel
baleno,2016,8731,Petrol
alto k10,2014,3806,Petrol
sx4,2008,2910,Petrol
dzire,2014,8209,Diesel
omni,2012,1866,Petrol
ciaz,2014,11194,Petrol
ritz,2013,3955,Petrol
wagon r,2006,1567,Petrol
ertiga,2015,8657,Petrol
ciaz,2017,11567,Petrol
